  81,
  -0.422176684690384E+00,  -0.887298334620742E+00,
  -0.422176684690384E+00,  -0.500000000000000E+00,
  -0.422176684690384E+00,  -0.112701665379258E+00,
   0.500000000000000E+01,  -0.887298334620742E+00,
   0.500000000000000E+01,  -0.500000000000000E+00,
   0.500000000000000E+01,  -0.112701665379258E+00,
   0.104221766846904E+02,  -0.887298334620742E+00,
   0.104221766846904E+02,  -0.500000000000000E+00,
   0.104221766846904E+02,  -0.112701665379258E+00,
   0.872458610617156E-01,   0.528467568722460E+01,
   0.474099191951283E+00,   0.530456893250201E+01,
   0.860965271828260E+00,   0.532422769085315E+01,
   0.172441559803932E+00,   0.459273982567570E+01,
   0.552543040488879E+00,   0.466733671030237E+01,
   0.932633661038700E+00,   0.474191369755548E+01,
   0.365859665261784E+00,   0.388962085968000E+01,
   0.730688821060628E+00,   0.401975662622932E+01,
   0.109548820629417E+01,   0.414992042929635E+01,
   0.531074825112131E+00,   0.348503855404637E+01,
   0.882877942159380E+00,   0.364710058315771E+01,
   0.123464257551665E+01,   0.380914308038241E+01,
   0.904996814132994E+00,   0.281598670180611E+01,
   0.122744730191039E+01,   0.303068073714954E+01,
   0.154984277073657E+01,   0.324530330664160E+01,
   0.138621240374303E+01,   0.220382530914842E+01,
   0.167103253716178E+01,   0.246643418752017E+01,
   0.195577868814527E+01,   0.272898527471553E+01,
   0.170999414051344E+01,   0.188388034097228E+01,
   0.196953776950570E+01,   0.217142430216294E+01,
   0.222899667870239E+01,   0.245894448784843E+01,
   0.232763584331426E+01,   0.140947449867604E+01,
   0.253886363609518E+01,   0.173406055327043E+01,
   0.275000682462455E+01,   0.205864998077326E+01,
   0.300053018800345E+01,   0.104230841034634E+01,
   0.315898854657714E+01,   0.139569927642377E+01,
   0.331738757656289E+01,   0.174907110860272E+01,
   0.340661306289277E+01,   0.880936219361484E+00,
   0.353316209390557E+01,   0.124705387089028E+01,
   0.365967567010804E+01,   0.161312305386064E+01,
   0.411161671585128E+01,   0.694302241911502E+00,
   0.418251070387104E+01,   0.107513240059235E+01,
   0.425340221054772E+01,   0.145591130865913E+01,
   0.480466881974364E+01,   0.615965356056598E+00,
   0.482054127756886E+01,   0.100293989940940E+01,
   0.483643122918633E+01,   0.138992450693404E+01,
   0.519738222272707E+01,   0.615677273224491E+00,
   0.518201647825834E+01,   0.100265807796117E+01,
   0.516666591760185E+01,   0.138967041863075E+01,
   0.589055764140964E+01,   0.693132514078633E+00,
   0.582014942228592E+01,   0.107396701066196E+01,
   0.574974154747819E+01,   0.145481487187595E+01,
   0.659617728665473E+01,   0.879096263361770E+00,
   0.646976341254630E+01,   0.124517598395171E+01,
   0.634334443352318E+01,   0.161126097299436E+01,
   0.700278644507922E+01,   0.104026770861026E+01,
   0.684411177242882E+01,   0.139356087046827E+01,
   0.668543321324573E+01,   0.174685929057758E+01,
   0.767568893032584E+01,   0.140855590921026E+01,
   0.746364109826375E+01,   0.173264339053891E+01,
   0.725159162835650E+01,   0.205673567498766E+01,
   0.829197543983664E+01,   0.188615778229199E+01,
   0.803106566397948E+01,   0.217238500021586E+01,
   0.777015548322380E+01,   0.245861467444383E+01,
   0.861430204600006E+01,   0.220880472042236E+01,
   0.832784661724946E+01,   0.246946071987178E+01,
   0.804139110406889E+01,   0.273011710788687E+01,
   0.909135340059624E+01,   0.282549092929435E+01,
   0.876709592042465E+01,   0.303728510620378E+01,
   0.844283979272221E+01,   0.324907744951188E+01,
   0.945912762789378E+01,   0.349857687378105E+01,
   0.910573429888967E+01,   0.365705589453543E+01,
   0.875234501799595E+01,   0.381553289972055E+01,
   0.962003580354849E+01,   0.390519896848481E+01,
   0.925389855647426E+01,   0.403147541857720E+01,
   0.888776719792907E+01,   0.415775054029502E+01,
   0.980579651429971E+01,   0.461074158202926E+01,
   0.942494888038633E+01,   0.468114874210391E+01,
   0.904410714031526E+01,   0.475155549070843E+01,
   0.988336185362305E+01,   0.530373641889409E+01,
   0.949637417707471E+01,   0.531927470408290E+01,
   0.910938834454207E+01,   0.533481296696973E+01,
