  81,
  -0.422176684690384E+00,  -0.887298334620742E+00,
  -0.422176684690384E+00,  -0.500000000000000E+00,
  -0.422176684690384E+00,  -0.112701665379258E+00,
   0.500000000000000E+01,  -0.887298334620742E+00,
   0.500000000000000E+01,  -0.500000000000000E+00,
   0.500000000000000E+01,  -0.112701665379258E+00,
   0.104221766846904E+02,  -0.887298334620742E+00,
   0.104221766846904E+02,  -0.500000000000000E+00,
   0.104221766846904E+02,  -0.112701665379258E+00,
  -0.371789957753307E+00,   0.399323997177554E+01,
   0.123763914762428E-01,   0.408012816493321E+01,
   0.396554525269608E+00,   0.416677699510421E+01,
  -0.166610214837970E+00,   0.331475021608269E+01,
   0.201283406300930E+00,   0.345527722480872E+01,
   0.569167995991555E+00,   0.359576942754922E+01,
   0.148953555957492E+00,   0.264378178864390E+01,
   0.491890312275366E+00,   0.283731095552721E+01,
   0.834797932783157E+00,   0.303087245939494E+01,
   0.384564850706942E+00,   0.226704558451334E+01,
   0.708897247098310E+00,   0.249030615581233E+01,
   0.103318948523881E+01,   0.271357384036380E+01,
   0.875108464634265E+00,   0.166175923373714E+01,
   0.116084035423785E+01,   0.193263219013930E+01,
   0.144651514131731E+01,   0.220346299431176E+01,
   0.146331707970182E+01,   0.113244793660711E+01,
   0.170292340993411E+01,   0.144472072755805E+01,
   0.194245894499206E+01,   0.175691208946310E+01,
   0.184308813941572E+01,   0.868502029563763E+00,
   0.205299111700360E+01,   0.120129583726895E+01,
   0.226281703896554E+01,   0.153398952507474E+01,
   0.254267421672691E+01,   0.500737777163918E+00,
   0.269818529224028E+01,   0.861954967548451E+00,
   0.285361105527411E+01,   0.122303005592573E+01,
   0.327729707235172E+01,   0.249475296045998E+00,
   0.337609228256608E+01,   0.629867497684311E+00,
   0.347479714835792E+01,   0.101006240329507E+01,
   0.370957624903092E+01,   0.157691423351874E+00,
   0.377517288572689E+01,   0.544944902797267E+00,
   0.384067937826922E+01,   0.931964209969720E+00,
   0.444324156957306E+01,   0.877160770733446E-01,
   0.445289160574298E+01,   0.480036358687904E+00,
   0.446248087933299E+01,   0.872056359765025E+00,
   0.514561169303489E+01,   0.118910913773511E+00,
   0.510217520031044E+01,   0.508580354358236E+00,
   0.505874266479196E+01,   0.897882641001566E+00,
   0.553584812279376E+01,   0.178241167389717E+00,
   0.546318143185524E+01,   0.563229651769800E+00,
   0.539054409364772E+01,   0.947813683534391E+00,
   0.621417991793613E+01,   0.354740508407237E+00,
   0.609111664296074E+01,   0.726183887735773E+00,
   0.596812095795771E+01,   0.109717450004068E+01,
   0.689091409479385E+01,   0.633155836722176E+00,
   0.671798257497546E+01,   0.983600480873104E+00,
   0.654521637188014E+01,   0.133356888870063E+01,
   0.727426285721776E+01,   0.843406125195687E+00,
   0.707328728739096E+01,   0.117812463062741E+01,
   0.687255830722210E+01,   0.151236528617991E+01,
   0.790138604391783E+01,   0.128541212128582E+01,
   0.765482829261984E+01,   0.158744187115526E+01,
   0.740862540036156E+01,   0.188899705599673E+01,
   0.846642366549896E+01,   0.182021990147102E+01,
   0.817919481981198E+01,   0.208312869034332E+01,
   0.789237321570123E+01,   0.234557177984443E+01,
   0.875748649392148E+01,   0.216767747593714E+01,
   0.844949868841926E+01,   0.240534265511849E+01,
   0.814192851466062E+01,   0.264255212198992E+01,
   0.918549020422706E+01,   0.281501736657571E+01,
   0.884706180207888E+01,   0.300596628850626E+01,
   0.850914386483843E+01,   0.319651934667517E+01,
   0.951230907013188E+01,   0.350363296960761E+01,
   0.915071821202076E+01,   0.364524834884647E+01,
   0.878983473412727E+01,   0.378658287613695E+01,
   0.965371139673479E+01,   0.391283161116508E+01,
   0.928215087310828E+01,   0.402527701985213E+01,
   0.891143084588477E+01,   0.413752704854573E+01,
   0.981648021720429E+01,   0.461800872698437E+01,
   0.943362766666078E+01,   0.468036638147732E+01,
   0.905151457554370E+01,   0.474264395483197E+01,
   0.988403551729477E+01,   0.530596693152053E+01,
   0.949681741572603E+01,   0.531965845318551E+01,
   0.910981886889201E+01,   0.533333830672669E+01,
  81,
  -0.422176684690384E+00,  -0.887298334620742E+00,
  -0.422176684690384E+00,  -0.500000000000000E+00,
  -0.422176684690384E+00,  -0.112701665379258E+00,
   0.500000000000000E+01,  -0.887298334620742E+00,
   0.500000000000000E+01,  -0.500000000000000E+00,
   0.500000000000000E+01,  -0.112701665379258E+00,
   0.104221766846904E+02,  -0.887298334620742E+00,
   0.104221766846904E+02,  -0.500000000000000E+00,
   0.104221766846904E+02,  -0.112701665379258E+00,
  -0.357843370875754E+00,   0.404466103232941E+01,
   0.264205417183951E-01,   0.412912265718631E+01,
   0.410696263283859E+00,   0.421334491913812E+01,
  -0.157009122434240E+00,   0.336568435494348E+01,
   0.211326358019380E+00,   0.350382348370706E+01,
   0.579652788594844E+00,   0.364192759216121E+01,
   0.154130827653835E+00,   0.269354984812292E+01,
   0.497860011832882E+00,   0.288478349517968E+01,
   0.841560038965488E+00,   0.307604948013373E+01,
   0.387192751077804E+00,   0.231580363215083E+01,
   0.712519631263513E+00,   0.253684863740185E+01,
   0.103780634778549E+01,   0.275790105353412E+01,
   0.873516862719431E+00,   0.170820964309360E+01,
   0.116057764975476E+01,   0.197704992372406E+01,
   0.144758133899861E+01,   0.224584844985884E+01,
   0.145786025013088E+01,   0.117590601053069E+01,
   0.169910178719017E+01,   0.148638353514933E+01,
   0.194027251390310E+01,   0.179677947697379E+01,
   0.183560931302650E+01,   0.909938549004975E+00,
   0.204730774835247E+01,   0.124109750709989E+01,
   0.225892909866942E+01,   0.157215565195977E+01,
   0.253220132245180E+01,   0.538308016253520E+00,
   0.268974557261154E+01,   0.898196220737225E+00,
   0.284720462409089E+01,   0.125794160170591E+01,
   0.326451378748932E+01,   0.282822681614858E+00,
   0.336552626830316E+01,   0.662218802416079E+00,
   0.346644888603757E+01,   0.104141815260043E+01,
   0.369578178169563E+01,   0.188486948119274E+00,
   0.376367603413717E+01,   0.574945156367666E+00,
   0.383148085250587E+01,   0.961170926683522E+00,
   0.442829200215410E+01,   0.114088866312655E+00,
   0.444032213923097E+01,   0.505962864856326E+00,
   0.445229148937169E+01,   0.897540285000614E+00,
   0.513020225604984E+01,   0.140946170830509E+00,
   0.508916164376981E+01,   0.530512873593596E+00,
   0.504812281813984E+01,   0.919717799750703E+00,
   0.552047345284835E+01,   0.197827413426600E+00,
   0.545017447916653E+01,   0.582906448711025E+00,
   0.537990272116005E+01,   0.967588482480292E+00,
   0.619935676067270E+01,   0.370149758491083E+00,
   0.607853761150420E+01,   0.741999252723111E+00,
   0.595778453999870E+01,   0.111340826087793E+01,
   0.687728714515661E+01,   0.644541848517344E+00,
   0.670639346342202E+01,   0.995675443502684E+00,
   0.653566002109197E+01,   0.134634836723838E+01,
   0.726163210052730E+01,   0.852593386052022E+00,
   0.706253645640870E+01,   0.118814313812386E+01,
   0.686367844053662E+01,   0.152323174466688E+01,
   0.789077526724770E+01,   0.129125230286180E+01,
   0.764578668456365E+01,   0.159428917308918E+01,
   0.740113862927959E+01,   0.189686974217585E+01,
   0.845814628025352E+01,   0.182340713396241E+01,
   0.817213717152964E+01,   0.208739878446722E+01,
   0.788651816355120E+01,   0.235094413479198E+01,
   0.875066125904656E+01,   0.216968365980631E+01,
   0.844367947328171E+01,   0.240842723489714E+01,
   0.813709745135530E+01,   0.264673482209556E+01,
   0.918096635947425E+01,   0.281555332537862E+01,
   0.884320929145073E+01,   0.300749335016021E+01,
   0.850593983252241E+01,   0.319905544706519E+01,
   0.950973507582821E+01,   0.350341374138301E+01,
   0.914853711009866E+01,   0.364583881398846E+01,
   0.878801352397649E+01,   0.378799612259728E+01,
   0.965207914099680E+01,   0.391247915087117E+01,
   0.928077890766972E+01,   0.402559162414762E+01,
   0.891027933953192E+01,   0.413851791312538E+01,
   0.981596079125479E+01,   0.461766272090572E+01,
   0.943320456613581E+01,   0.468041121466333E+01,
   0.905115234961097E+01,   0.474308348220705E+01,
   0.988400218433441E+01,   0.530585946115955E+01,
   0.949679518464278E+01,   0.531964117284948E+01,
   0.910979716011075E+01,   0.533341180239658E+01,
  81,
  -0.422176684690384E+00,  -0.887298334620742E+00,
  -0.422176684690384E+00,  -0.500000000000000E+00,
  -0.422176684690384E+00,  -0.112701665379258E+00,
   0.500000000000000E+01,  -0.887298334620742E+00,
   0.500000000000000E+01,  -0.500000000000000E+00,
   0.500000000000000E+01,  -0.112701665379258E+00,
   0.104221766846904E+02,  -0.887298334620742E+00,
   0.104221766846904E+02,  -0.500000000000000E+00,
   0.104221766846904E+02,  -0.112701665379258E+00,
  -0.357843370875760E+00,   0.404466103232940E+01,
   0.264205417183886E-01,   0.412912265718630E+01,
   0.410696263283853E+00,   0.421334491913811E+01,
  -0.157009122434245E+00,   0.336568435494347E+01,
   0.211326358019374E+00,   0.350382348370705E+01,
   0.579652788594839E+00,   0.364192759216121E+01,
   0.154130827653831E+00,   0.269354984812292E+01,
   0.497860011832878E+00,   0.288478349517968E+01,
   0.841560038965484E+00,   0.307604948013373E+01,
   0.387192751077801E+00,   0.231580363215083E+01,
   0.712519631263510E+00,   0.253684863740185E+01,
   0.103780634778548E+01,   0.275790105353412E+01,
   0.873516862719429E+00,   0.170820964309359E+01,
   0.116057764975475E+01,   0.197704992372406E+01,
   0.144758133899861E+01,   0.224584844985884E+01,
   0.145786025013088E+01,   0.117590601053069E+01,
   0.169910178719017E+01,   0.148638353514933E+01,
   0.194027251390310E+01,   0.179677947697379E+01,
   0.183560931302650E+01,   0.909938549004973E+00,
   0.204730774835247E+01,   0.124109750709989E+01,
   0.225892909866942E+01,   0.157215565195976E+01,
   0.253220132245180E+01,   0.538308016253519E+00,
   0.268974557261154E+01,   0.898196220737224E+00,
   0.284720462409089E+01,   0.125794160170591E+01,
   0.326451378748932E+01,   0.282822681614857E+00,
   0.336552626830316E+01,   0.662218802416079E+00,
   0.346644888603757E+01,   0.104141815260043E+01,
   0.369578178169563E+01,   0.188486948119273E+00,
   0.376367603413717E+01,   0.574945156367666E+00,
   0.383148085250587E+01,   0.961170926683521E+00,
   0.442829200215410E+01,   0.114088866312655E+00,
   0.444032213923097E+01,   0.505962864856326E+00,
   0.445229148937169E+01,   0.897540285000614E+00,
   0.513020225604984E+01,   0.140946170830509E+00,
   0.508916164376981E+01,   0.530512873593596E+00,
   0.504812281813984E+01,   0.919717799750703E+00,
   0.552047345284835E+01,   0.197827413426600E+00,
   0.545017447916653E+01,   0.582906448711025E+00,
   0.537990272116005E+01,   0.967588482480292E+00,
   0.619935676067270E+01,   0.370149758491084E+00,
   0.607853761150420E+01,   0.741999252723111E+00,
   0.595778453999870E+01,   0.111340826087793E+01,
   0.687728714515661E+01,   0.644541848517345E+00,
   0.670639346342202E+01,   0.995675443502684E+00,
   0.653566002109197E+01,   0.134634836723838E+01,
   0.726163210052730E+01,   0.852593386052022E+00,
   0.706253645640870E+01,   0.118814313812386E+01,
   0.686367844053662E+01,   0.152323174466688E+01,
   0.789077526724770E+01,   0.129125230286180E+01,
   0.764578668456365E+01,   0.159428917308918E+01,
   0.740113862927959E+01,   0.189686974217585E+01,
   0.845814628025352E+01,   0.182340713396241E+01,
   0.817213717152964E+01,   0.208739878446722E+01,
   0.788651816355120E+01,   0.235094413479198E+01,
   0.875066125904656E+01,   0.216968365980631E+01,
   0.844367947328171E+01,   0.240842723489714E+01,
   0.813709745135530E+01,   0.264673482209556E+01,
   0.918096635947425E+01,   0.281555332537862E+01,
   0.884320929145073E+01,   0.300749335016021E+01,
