1818,
  -0.790987984380405E+01,   0.450483901932987E-01,
  -0.791000304005184E+01,   0.199878748495252E+00,
  -0.791009787815659E+01,   0.354743096898368E+00,
  -0.760017138074067E+01,   0.449683321283627E-01,
  -0.760070027414237E+01,   0.199578009225168E+00,
  -0.760113613060401E+01,   0.354306010896334E+00,
  -0.729044541687829E+01,   0.449360790673804E-01,
  -0.729135263980921E+01,   0.199456884230644E+00,
  -0.729215291984010E+01,   0.354130042684625E+00,
  -0.711018228375893E+01,   0.449367808946747E-01,
  -0.711130168744403E+01,   0.199459637933253E+00,
  -0.711232592410204E+01,   0.354134290632981E+00,
  -0.680046591653754E+01,   0.449328081963978E-01,
  -0.680200621632939E+01,   0.199446329618116E+00,
  -0.680345229649100E+01,   0.354118333836923E+00,
  -0.649077918248983E+01,   0.449167834160121E-01,
  -0.649282156001592E+01,   0.199389712256309E+00,
  -0.649473867055137E+01,   0.354043550702658E+00,
  -0.631055829963030E+01,   0.449019504540268E-01,
  -0.631292999913332E+01,   0.199336466594913E+00,
  -0.631514475040942E+01,   0.353971351218616E+00,
  -0.600091314695102E+01,   0.448676339532887E-01,
  -0.600391061379273E+01,   0.199204652715562E+00,
  -0.600669033368455E+01,   0.353773691514913E+00,
  -0.569129092956870E+01,   0.448222445678769E-01,
  -0.569498935440036E+01,   0.199021082086067E+00,
  -0.569840361571038E+01,   0.353479513735011E+00,
  -0.551110492219172E+01,   0.447902085702782E-01,
  -0.551524607993956E+01,   0.198888209104730E+00,
  -0.551906141865562E+01,   0.353260140710357E+00,
  -0.520152136621747E+01,   0.447175408511521E-01,
  -0.520648559255298E+01,   0.198581458676122E+00,
  -0.521104093099153E+01,   0.352743535875053E+00,
  -0.489196375191137E+01,   0.446214598913448E-01,
  -0.489783023223222E+01,   0.198170737230783E+00,
  -0.490318932128786E+01,   0.352042249853733E+00,
  -0.471181596134869E+01,   0.445543715193189E-01,
  -0.471824201710649E+01,   0.197881790161107E+00,
  -0.472409657944958E+01,   0.351544906474551E+00,
  -0.440228746416328E+01,   0.444139268930140E-01,
  -0.440970406497783E+01,   0.197268313112660E+00,
  -0.441643243551294E+01,   0.350473276024852E+00,
  -0.409276983608727E+01,   0.442408095682682E-01,
  -0.410120941690356E+01,   0.196502477085921E+00,
  -0.410883641372041E+01,   0.349118125715044E+00,
  -0.391263737007362E+01,   0.441247214127790E-01,
  -0.392168198155367E+01,   0.195985029521252E+00,
  -0.392983874113843E+01,   0.348195564380363E+00,
  -0.360310617621436E+01,   0.438944064444735E-01,
  -0.361312673932810E+01,   0.194948251804781E+00,
  -0.362213446217326E+01,   0.346329105725430E+00,
  -0.329354696295690E+01,   0.436244531190115E-01,
