 369,
  -0.3928425057933378E-01,   0.2562540333075852E+00,
  -0.3928425057933378E-01,   0.2640000000000000E+00,
  -0.3928425057933377E-01,   0.2717459666924148E+00,
   0.1500000000000000E+00,   0.2562540333075852E+00,
   0.1500000000000000E+00,   0.2640000000000000E+00,
   0.1500000000000000E+00,   0.2717459666924148E+00,
   0.3092842505793337E+00,   0.2562540333075851E+00,
   0.3092842505793338E+00,   0.2640000000000000E+00,
   0.3092842505793337E+00,   0.2717459666924147E+00,
   0.1931641994029638E-02,   0.2351217372572908E+00,
   0.1959403783345130E-02,   0.2389900485328609E+00,
   0.1987301399855970E-02,   0.2428608604772590E+00,
   0.8616300491362746E-02,   0.2349911929680065E+00,
   0.8740415431363606E-02,   0.2388578520975853E+00,
   0.8865015410307766E-02,   0.2427271106728098E+00,
   0.1536806933899895E-01,   0.2346899380679093E+00,
   0.1558994717996865E-01,   0.2385524877508075E+00,
   0.1581247215403198E-01,   0.2424175998579547E+00,
   0.1932575102635811E-01,   0.2344338464835110E+00,
   0.1960514706705339E-01,   0.2382928382817815E+00,
   0.1988520519202878E-01,   0.2421543123452212E+00,
   0.2617094858565732E-01,   0.2338499346381744E+00,
   0.2655028052216192E-01,   0.2377006807627375E+00,
   0.2693030306588049E-01,   0.2415537551736495E+00,
   0.3306648800713509E-01,   0.2330797416482882E+00,
   0.3354708575106218E-01,   0.2369194731829870E+00,
   0.3402842684615000E-01,   0.2407613706590133E+00,
   0.3709967057096558E-01,   0.2325438299792352E+00,
   0.3763977353810391E-01,   0.2363758446616824E+00,
   0.3818065978545199E-01,   0.2402099279466537E+00,
   0.4405972690386733E-01,   0.2314677996485112E+00,
   0.4470294101772235E-01,   0.2352841933789074E+00,
   0.4534698969529745E-01,   0.2391024990706012E+00,
   0.5105038296798398E-01,   0.2301919159198007E+00,
   0.5179769841719322E-01,   0.2339896400379861E+00,
   0.5254587240381094E-01,   0.2377891356300356E+00,
   0.5512939626714912E-01,   0.2293558129741025E+00,
   0.5593770566874413E-01,   0.2331412411528843E+00,
   0.5674687598373419E-01,   0.2369283652124929E+00,
   0.6215080508512325E-01,   0.2277544692110334E+00,
   0.6306453915196060E-01,   0.2315162063602860E+00,
   0.6397913791835692E-01,   0.2352794970845310E+00,
   0.6917994127385983E-01,   0.2259421943083171E+00,
   0.7019977265898607E-01,   0.2296769496889718E+00,
   0.7122047502086717E-01,   0.2334130971240880E+00,
   0.7327043969552519E-01,   0.2247892833041860E+00,
   0.7435227254580926E-01,   0.2285067983677460E+00,
   0.7543498054124652E-01,   0.2322256039045029E+00,
   0.8029195749049810E-01,   0.2226363826424278E+00,
   0.8148065046827345E-01,   0.2263215101774228E+00,
   0.8267021664149191E-01,   0.2300077613816253E+00,
   0.8729568211581336E-01,   0.2202646020426234E+00,
   0.8859151776904088E-01,   0.2239138094621163E+00,
   0.8988821150292609E-01,   0.2275639869106303E+00,
   0.9135934294213378E-01,   0.2187829716274214E+00,
   0.9271760203156545E-01,   0.2224096350696100E+00,
   0.9407670444480060E-01,   0.2260371851722611E+00,
   0.9831326874179423E-01,   0.2160609465467749E+00,
   0.9977876776922377E-01,   0.2196459758213275E+00,
   0.1012450774326741E+00,   0.2232317560050608E+00,
   0.1052217540312890E+00,   0.2131159560436043E+00,
   0.1067943262602747E+00,   0.2166556740217837E+00,
   0.1083676675054016E+00,   0.2201960164956721E+00,
   0.1092170702516645E+00,   0.2112994927395171E+00,
   0.1108518133624327E+00,   0.2148111447073224E+00,
   0.1124872972060894E+00,   0.2183233516087812E+00,
   0.1160308009247453E+00,   0.2080012378743814E+00,
   0.1177719644022493E+00,   0.2114616901879507E+00,
   0.1195138143181714E+00,   0.2149225784590579E+00,
   0.1227701000505314E+00,   0.2044803760530892E+00,
   0.1246170210412278E+00,   0.2078858778236900E+00,
   0.1264645671463815E+00,   0.2112916964951366E+00,
   0.1266535510689142E+00,   0.2023296366496628E+00,
   0.1285616459294343E+00,   0.2057014402594474E+00,
   0.1304703271442826E+00,   0.2090734916452284E+00,
   0.1332517122938865E+00,   0.1984598952576550E+00,
   0.1352641052536153E+00,   0.2017708120092603E+00,
   0.1372770152458889E+00,   0.2050818601701184E+00,
   0.1397460159263111E+00,   0.1943727763541418E+00,
   0.1418615242080556E+00,   0.1976190699102051E+00,
